السنة,الشهر,الفئة العمرية,عدد معتمري الخارج,
1444,رمضان,31 - 40," 144,793 ",
1444,رمضان,41 - 50," 155,526 ",
1444,رمضان,51 - 60," 169,702 ",
1444,رمضان,60'اكبر من," 205,358 ",
1444,رمضان,اصغر من 20," 85,527 ",
1444,شعبان,21 - 30," 131,935 ",
1444,شعبان,31 - 40," 193,102 ",
1444,شعبان,41 - 50," 235,246 ",
1444,شعبان,51 - 60," 318,330 ",
1444,شعبان,60'اكبر من," 443,847 ",
1444,شعبان,اصغر من 20," 107,575 ",
1444,شوال,21 - 30," 26,416 ",
1444,شوال,31 - 40," 38,109 ",
1444,شوال,41 - 50," 43,469 ",
1444,شوال,51 - 60," 54,613 ",
1444,شوال,60'اكبر من," 69,396 ",
1444,شوال,اصغر من 20," 22,717 ",
1444,صفر,21 - 30," 63,318 ",
1444,صفر,31 - 40," 89,693 ",
1444,صفر,41 - 50," 107,044 ",
1444,صفر,51 - 60," 140,646 ",
1444,صفر,60'اكبر من," 153,591 ",
1444,صفر,اصغر من 20," 63,000 ",
1444,محرم,21 - 30," 45,569 ",
1444,محرم,31 - 40," 62,525 ",
1444,محرم,41 - 50," 72,870 ",
1444,محرم,51 - 60," 90,942 ",
1444,محرم,60'اكبر من," 92,033 ",
1444,محرم,اصغر من 20," 46,539 ",
1445,جمادى الآخرة,21 - 30," 131,416 ",
1445,جمادى الآخرة,31 - 40," 177,053 ",
1445,جمادى الآخرة,41 - 50," 193,580 ",
1445,جمادى الآخرة,51 - 60," 218,631 ",
1445,جمادى الآخرة,60'اكبر من," 249,119 ",
1445,جمادى الآخرة,اصغر من 20," 140,616 ",
1445,جمادى الأولى,21 - 30," 117,941 ",
1445,جمادى الأولى,31 - 40," 155,737 ",
1445,جمادى الأولى,41 - 50," 174,895 ",
1445,جمادى الأولى,51 - 60," 207,751 ",
1445,جمادى الأولى,60'اكبر من," 237,368 ",
1445,جمادى الأولى,اصغر من 20," 120,617 ",
1445,ذو الحجة,21 - 30," 10,426 ",
1445,ذو الحجة,31 - 40," 12,547 ",
1445,ذو الحجة,41 - 50," 12,853 ",
1445,ذو الحجة,51 - 60," 12,950 ",
1445,ذو الحجة,60'اكبر من," 12,517 ",
1445,ذو الحجة,اصغر من 20," 15,461 ",
1445,ذو القعدة,21 - 30, 15 ,
1445,ذو القعدة,31 - 40, 21 ,
1445,ذو القعدة,41 - 50, 30 ,
1445,ذو القعدة,51 - 60, 29 ,
1445,ذو القعدة,60'اكبر من, 8 ,
1445,ذو القعدة,اصغر من 20, 10 ,
1445,ربيع الأول,21 - 30," 107,884 ",
1445,ربيع الأول,31 - 40," 143,262 ",
1445,ربيع الأول,41 - 50," 158,915 ",
1445,ربيع الأول,51 - 60," 200,788 ",
1445,ربيع الأول,60'اكبر من," 236,887 ",
1445,ربيع الأول,اصغر من 20," 99,617 ",
1445,ربيع الثاني,21 - 30," 106,659 ",
1445,ربيع الثاني,31 - 40," 145,381 ",
1445,ربيع الثاني,41 - 50," 160,630 ",
1445,ربيع الثاني,51 - 60," 204,726 ",
1445,ربيع الثاني,60'اكبر من," 239,726 ",
1445,ربيع الثاني,اصغر من 20," 92,406 ",
1445,رجب,21 - 30," 154,726 ",
1445,رجب,31 - 40," 198,376 ",
1445,رجب,41 - 50," 228,897 ",
1445,رجب,51 - 60," 285,585 ",
1445,رجب,60'اكبر من," 347,444 ",
1445,رجب,اصغر من 20," 134,073 ",
1445,رمضان,21 - 30," 110,924 ",
1445,رمضان,31 - 40," 159,484 ",
1445,رمضان,41 - 50," 168,988 ",
1445,رمضان,51 - 60," 176,258 ",
1445,رمضان,60'اكبر من," 202,675 ",
1445,رمضان,اصغر من 20," 107,364 ",
1445,شعبان,21 - 30," 145,895 ",
1445,شعبان,31 - 40," 197,444 ",
1445,شعبان,41 - 50," 229,588 ",
1445,شعبان,51 - 60," 311,009 ",
1445,شعبان,60'اكبر من," 424,998 ",
1445,شعبان,اصغر من 20," 122,557 ",
1445,شوال,21 - 30," 11,905 ",
1445,شوال,31 - 40," 17,989 ",
